Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28 Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|O95487|SC24B_HUMAN,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,8.6903E+4,8.4551E+4,8.9208E+4
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,TF,5.8168E+7,5.8068E+7,6.3087E+7
sp|P06858|LIPL_HUMAN,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL,3.9282E+5,3.7336E+5,3.5451E+5
sp|P08254|MMP3_HUMAN / sp|P09238|MMP10_HUMAN,"Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2
Stromelysin-2 OS=Homo sapiens OX=9606 GN=MMP10 PE=1 SV=1",MMP3 / MMP10,6.5020E+3,8.4918E+3,1.1245E+4
sp|P0DX04|TB15C_HUMAN / sp|P0CG35|TB15B_HUMAN / sp|P0CG34|TB15A_HUMAN,"Thymosin beta-15C OS=Homo sapiens OX=9606 GN=TMSB15C PE=3 SV=1
Thymosin beta-15B OS=Homo sapiens OX=9606 GN=TMSB15B PE=1 SV=1
Thymosin beta-15A OS=Homo sapiens OX=9606 GN=TMSB15A PE=1 SV=1",TMSB15C / TMSB15B / TMSB15A,1.4101E+4,1.0825E+4,8.8256E+3
sp|P23381|SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",WARS1,8.0873E+5,8.6503E+5,8.4428E+5
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,6.8668E+5,7.3553E+5,6.7992E+5
sp|P42224|STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,8.2416E+5,7.3890E+5,6.0615E+5
sp|P51693|APLP1_HUMAN,Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3,APLP1,2.1157E+6,2.1581E+6,2.0974E+6
sp|Q15650|TRIP4_HUMAN,Activating signal cointegrator 1 OS=Homo sapiens OX=9606 GN=TRIP4 PE=1 SV=4,TRIP4,6.3492E+4,9.0995E+4,7.2657E+4
sp|Q15758|AAAT_HUMAN,Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2,SLC1A5,2.8492E+4,1.5331E+4,2.5153E+4
sp|Q3B8N2|LEG9B_HUMAN / sp|Q6DKI2|LEG9C_HUMAN,"Galectin-9B OS=Homo sapiens OX=9606 GN=LGALS9B PE=1 SV=3
Galectin-9C OS=Homo sapiens OX=9606 GN=LGALS9C PE=1 SV=2",LGALS9B / LGALS9C,1.0651E+4,1.8428E+4,1.0745E+4
