File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
./2025-0405-Astral-MMCC-A-100_0-14.raw	66057	4660	8.32644e+10	5911341050354	908455492154	2.473	0.053	0.597787	0.386722	2.16657	1.00344	0	0.0149321	13.577	2.557	0.444
./2025-0405-Astral-MMCC-A-100_0-28.raw	65401	4669	9.12734e+10	6020338332567	1005379332811	2.497	0.053	0.620408	0.36366	2.62838	0.970725	0	0.0163772	13.592	2.558	0.444
./2025-0405-Astral-MMCC-A-100_0-28b.raw	65585	4693	8.05775e+10	5421164966944	867309498688	2.463	0.053	0.951238	0.4027	2.68485	1.0126	0	0.0139047	13.584	2.558	0.442
./2025-0405-Astral-MMCC-A-100_0-42.raw	65174	4630	7.51645e+10	5204240979602	797033128272	2.44	0.053	0.610004	0.424235	2.56616	0.993951	0	0.0154322	13.567	2.557	0.442
./2025-0405-Astral-MMCC-B-70_0-13.raw	60345	4467	6.24301e+10	5329148751971	850168934854	2.403	0.052	0.659501	0.398341	2.21397	0.958897	0	0.0175744	13.582	2.56	0.441
./2025-0405-Astral-MMCC-B-70_0-27b.raw	59484	4420	5.60952e+10	4755383049146	755690029823	2.378	0.052	0.576865	0.430835	2.77023	0.958357	0	0.0176382	13.585	2.561	0.442
./2025-0405-Astral-MMCC-B-70_0-41.raw	59327	4448	5.68631e+10	4821012582086	764381706254	2.369	0.051	0.711206	0.357191	2.57189	1.02865	0	0.0172142	13.59	2.562	0.441
./2025-0405-Astral-MMCC-C-50_0-12.raw	54655	4280	4.73899e+10	5002354093776	799431423580	2.353	0.051	0.665126	0.314498	2.75092	0.986333	0	0.017653	13.562	2.56	0.44
./2025-0405-Astral-MMCC-C-50_0-26.raw	50376	4119	3.33233e+10	3664935445416	559300072826	2.117	0.062	0.814643	0.389082	2.83048	0.972967	0	0.0181808	13.47	2.553	0.441
./2025-0405-Astral-MMCC-C-50_0-40.raw	54047	4260	4.45689e+10	4633828928398	747061871649	2.354	0.051	0.478088	0.363238	2.75455	0.979993	0	0.01689	13.564	2.56	0.438
