Protein,Protein Description,Protein Gene,Astral_MixA_01 Sum Normalized Area,Astral_MixA_02 Sum Normalized Area,Astral_MixA_03 Sum Normalized Area,Astral_MixB_01 Sum Normalized Area,Astral_MixB_02 Sum Normalized Area,Astral_MixB_03 Sum Normalized Area,Astral_MixC_01 Sum Normalized Area,Astral_MixC_02 Sum Normalized Area,Astral_MixC_03 Sum Normalized Area,Astral_MixD_01 Sum Normalized Area,Astral_MixD_02 Sum Normalized Area,Astral_MixD_03 Sum Normalized Area,Astral_MixE_01 Sum Normalized Area,Astral_MixE_02 Sum Normalized Area,Astral_MixE_03 Sum Normalized Area,Astral_MixF_01 Sum Normalized Area,Astral_MixF_02 Sum Normalized Area,Astral_MixF_03 Sum Normalized Area,Astral_MixG_01 Sum Normalized Area,Astral_MixG_02 Sum Normalized Area,Astral_MixG_03 Sum Normalized Area,Astral_MixH_01 Sum Normalized Area,Astral_MixH_02 Sum Normalized Area,Astral_MixH_03 Sum Normalized Area,Astral_MixI_01 Sum Normalized Area,Astral_MixI_02 Sum Normalized Area,Astral_MixI_03 Sum Normalized Area,Astral_MixJ_01 Sum Normalized Area,Astral_MixJ_02 Sum Normalized Area,Astral_MixJ_03 Sum Normalized Area,Astral_MixK_01 Sum Normalized Area,Astral_MixK_02 Sum Normalized Area,Astral_MixK_03 Sum Normalized Area,Astral_MixL_01 Sum Normalized Area,Astral_MixL_02 Sum Normalized Area,Astral_MixL_03 Sum Normalized Area,Astral_MixM_01 Sum Normalized Area,Astral_MixM_02 Sum Normalized Area,Astral_MixM_03 Sum Normalized Area,Astral_MixN_01 Sum Normalized Area,Astral_MixN_02 Sum Normalized Area,Astral_MixN_03 Sum Normalized Area
sp|O95487|SC24B_HUMAN,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,1.9023E+4,7.1125E+4,2.9725E+4,3.7596E+4,1.7034E+4,3.6739E+4,1.6053E+4,5.4682E+3,1.5459E+4,3.7187E+3,4.3350E+3,9.9476E+3,#N/A,#N/A,#N/A,#N/A,4.8396E+2,1.7639E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,TF,5.9166E+7,5.7583E+7,5.3570E+7,4.2359E+7,3.8850E+7,3.9256E+7,3.1160E+7,3.0581E+7,3.0093E+7,1.9698E+7,1.9804E+7,1.7200E+7,7.0074E+6,6.9570E+6,6.2668E+6,5.3565E+6,5.0156E+6,5.4348E+6,4.3390E+6,3.8380E+6,3.4781E+6,2.6752E+6,2.4139E+6,2.4426E+6,5.2221E+5,9.9189E+5,4.7194E+5,3.4063E+5,7.9870E+5,2.9223E+5,1.1090E+5,1.2633E+5,1.6470E+5,4.6090E+4,9.8590E+4,5.2330E+4,#N/A,9.9520E+3,#N/A,#N/A,#N/A,#N/A
sp|P06858|LIPL_HUMAN,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL,3.9599E+5,3.7139E+5,3.1606E+5,2.6423E+5,1.8211E+5,1.9148E+5,2.2101E+5,9.8766E+4,1.7281E+5,1.2220E+5,2.2936E+4,3.5292E+4,#N/A,1.4364E+4,1.4387E+4,#N/A,#N/A,#N/A,#N/A,4.3832E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P08254|MMP3_HUMAN,Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2,MMP3,3.1165E+4,2.8974E+4,2.3462E+4,1.7029E+4,1.5260E+4,#N/A,8.8807E+3,#N/A,8.5055E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P0DX04|TB15C_HUMAN / sp|P0CG35|TB15B_HUMAN / sp|P0CG34|TB15A_HUMAN,"Thymosin beta-15C OS=Homo sapiens OX=9606 GN=TMSB15C PE=3 SV=1
Thymosin beta-15B OS=Homo sapiens OX=9606 GN=TMSB15B PE=1 SV=1
Thymosin beta-15A OS=Homo sapiens OX=9606 GN=TMSB15A PE=1 SV=1",TMSB15C / TMSB15B / TMSB15A,9.5462E+3,6.8151E+3,1.0145E+4,8.9954E+3,5.2242E+3,9.9266E+3,#N/A,5.3877E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P23381|SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",WARS1,6.9972E+5,5.9846E+5,5.9903E+5,4.6533E+5,3.4051E+5,4.1710E+5,2.5636E+5,3.5315E+5,2.8253E+5,1.8720E+5,1.3935E+5,1.5423E+5,2.9713E+4,1.0953E+5,4.2783E+4,3.2742E+4,2.5836E+4,3.3366E+4,2.6446E+4,5.0250E+3,#N/A,#N/A,9.4168E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.3169E+4,#N/A,#N/A,1.0011E+4,8.3131E+3
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,5.2968E+5,4.6899E+5,4.0444E+5,3.8560E+5,3.2651E+5,3.1612E+5,2.4930E+5,3.2124E+5,2.9182E+5,2.3747E+5,2.2820E+5,2.0544E+5,3.5624E+4,2.4342E+4,3.5707E+4,1.8729E+4,1.9998E+4,5.5168E+3,5.3902E+3,2.7136E+3,7.1038E+3,#N/A,#N/A,5.3862E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P42224|STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,6.7882E+5,6.5305E+5,5.0288E+5,3.7458E+5,2.9529E+5,4.2172E+5,2.0431E+5,2.2229E+5,1.7543E+5,1.2400E+5,1.4700E+5,1.0171E+5,3.7370E+4,1.7856E+4,1.3988E+4,8.8937E+3,#N/A,5.5294E+3,#N/A,2.7419E+3,5.4353E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51003|PAPOA_HUMAN / sp|Q9NRJ5|PAPOB_HUMAN,"Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4
Poly(A) polymerase beta OS=Homo sapiens OX=9606 GN=PAPOLB PE=1 SV=2",PAPOLA / PAPOLB,#N/A,3.5457E+4,3.6070E+4,#N/A,2.2989E+4,3.1656E+4,2.1807E+4,2.6163E+4,2.6426E+4,1.5533E+4,#N/A,1.2780E+4,#N/A,#N/A,#N/A,4.2744E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.8268E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51693|APLP1_HUMAN,Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3,APLP1,2.1030E+6,1.9601E+6,1.9024E+6,1.6489E+6,1.4250E+6,1.2819E+6,1.2646E+6,1.1570E+6,9.4195E+5,5.1639E+5,6.0229E+5,4.3047E+5,1.7701E+5,1.4354E+5,9.5670E+4,1.1190E+5,9.4120E+4,1.0579E+5,4.6546E+4,3.6384E+4,7.7695E+4,2.3445E+4,2.1140E+4,1.7251E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
