Protein,Protein Description,Protein Gene,Actis_MixA_01 Sum Normalized Area,Actis_MixA_02 Sum Normalized Area,Actis_MixA_03 Sum Normalized Area,Actis_MixB_01 Sum Normalized Area,Actis_MixB_02 Sum Normalized Area,Actis_MixB_03 Sum Normalized Area,Actis_MixC_01 Sum Normalized Area,Actis_MixC_02 Sum Normalized Area,Actis_MixC_03 Sum Normalized Area,Actis_MixD_01 Sum Normalized Area,Actis_MixD_02 Sum Normalized Area,Actis_MixD_03 Sum Normalized Area,Actis_MixE_01 Sum Normalized Area,Actis_MixE_02 Sum Normalized Area,Actis_MixE_03 Sum Normalized Area,Actis_MixF_01 Sum Normalized Area,Actis_MixF_02 Sum Normalized Area,Actis_MixF_03 Sum Normalized Area,Actis_MixG_01 Sum Normalized Area,Actis_MixG_02 Sum Normalized Area,Actis_MixG_03 Sum Normalized Area,Actis_MixH_01 Sum Normalized Area,Actis_MixH_02 Sum Normalized Area,Actis_MixH_03 Sum Normalized Area,Actis_MixI_01 Sum Normalized Area,Actis_MixI_02 Sum Normalized Area,Actis_MixI_03 Sum Normalized Area,Actis_MixJ_01 Sum Normalized Area,Actis_MixJ_02 Sum Normalized Area,Actis_MixJ_03 Sum Normalized Area,Actis_MixK_01 Sum Normalized Area,Actis_MixK_02 Sum Normalized Area,Actis_MixK_03 Sum Normalized Area,Actis_MixL_01 Sum Normalized Area,Actis_MixL_02 Sum Normalized Area,Actis_MixL_03 Sum Normalized Area,Actis_MixM_01 Sum Normalized Area,Actis_MixM_02 Sum Normalized Area,Actis_MixM_03 Sum Normalized Area,Actis_MixN_01 Sum Normalized Area,Actis_MixN_02 Sum Normalized Area,Actis_MixN_03 Sum Normalized Area
sp|O95487|SC24B_HUMAN,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,1.0095E+5,8.4551E+4,8.6050E+4,5.7572E+4,5.6518E+4,6.2096E+4,3.4871E+4,2.6088E+4,3.3322E+4,8.8826E+3,2.4042E+4,1.7682E+4,7.9064E+3,1.1987E+3,#N/A,#N/A,#N/A,#N/A,#N/A,3.5322E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,TF,6.7568E+7,5.8068E+7,6.0854E+7,5.4899E+7,4.4081E+7,4.4103E+7,4.1295E+7,3.5527E+7,3.1872E+7,2.3322E+7,2.0468E+7,1.8900E+7,9.4920E+6,7.6032E+6,7.4787E+6,6.1391E+6,5.4367E+6,5.4889E+6,5.1713E+6,4.0434E+6,3.9149E+6,3.3954E+6,2.7727E+6,2.4296E+6,8.1073E+5,7.6085E+5,6.4125E+5,1.1486E+6,4.3416E+5,3.3455E+5,3.2713E+5,2.4126E+5,2.1009E+5,1.2412E+5,1.2470E+5,3.4743E+4,1.7632E+4,5.8768E+3,3.5942E+3,#N/A,#N/A,#N/A
sp|P06858|LIPL_HUMAN,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL,4.5630E+5,3.7336E+5,3.4196E+5,3.3250E+5,3.2205E+5,2.1246E+5,2.4159E+5,1.1568E+5,1.7491E+5,9.3010E+4,6.9357E+4,7.4916E+4,1.6665E+4,8.1114E+4,#N/A,4.3410E+3,1.7381E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P08254|MMP3_HUMAN / sp|P09238|MMP10_HUMAN,"Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2
Stromelysin-2 OS=Homo sapiens OX=9606 GN=MMP10 PE=1 SV=1",MMP3 / MMP10,7.5528E+3,8.4918E+3,1.0847E+4,7.0839E+3,8.4314E+3,8.8077E+3,#N/A,#N/A,#N/A,1.1106E+4,#N/A,#N/A,1.4227E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P0DX04|TB15C_HUMAN / sp|P0CG35|TB15B_HUMAN / sp|P0CG34|TB15A_HUMAN,"Thymosin beta-15C OS=Homo sapiens OX=9606 GN=TMSB15C PE=3 SV=1
Thymosin beta-15B OS=Homo sapiens OX=9606 GN=TMSB15B PE=1 SV=1
Thymosin beta-15A OS=Homo sapiens OX=9606 GN=TMSB15A PE=1 SV=1",TMSB15C / TMSB15B / TMSB15A,1.6380E+4,1.0825E+4,8.5132E+3,1.1264E+4,1.0811E+4,7.1924E+3,4.5434E+3,6.6220E+3,7.1759E+3,#N/A,3.8406E+3,5.5160E+3,#N/A,#N/A,2.4358E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P23381|SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",WARS1,9.3943E+5,8.6503E+5,8.1439E+5,6.4984E+5,5.1735E+5,5.1397E+5,4.5564E+5,4.1933E+5,4.0185E+5,2.7771E+5,2.4950E+5,2.0636E+5,7.9758E+4,1.0312E+5,7.7168E+4,6.5487E+4,4.3354E+4,3.1153E+4,1.9129E+4,4.9996E+4,3.6408E+4,1.2540E+4,7.3284E+2,1.2520E+4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.2841E+3,5.4357E+3,#N/A,#N/A,#N/A,5.9780E+3,#N/A,1.0746E+4,5.9908E+3,#N/A,#N/A,1.4386E+4
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,7.9765E+5,7.3553E+5,6.5585E+5,6.2630E+5,5.3600E+5,5.1391E+5,5.0132E+5,4.1969E+5,4.0372E+5,3.9030E+5,2.6150E+5,3.0133E+5,5.5902E+4,5.2974E+4,1.2780E+5,3.4269E+4,4.0405E+4,2.9104E+4,1.4442E+4,8.6641E+4,6.1308E+3,6.2249E+3,8.4450E+2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P42224|STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,9.5735E+5,7.3890E+5,5.8470E+5,5.7640E+5,3.9826E+5,3.9751E+5,3.6287E+5,3.0685E+5,2.8443E+5,2.0379E+5,1.6597E+5,1.3499E+5,6.9827E+4,3.0437E+4,3.3209E+4,1.5764E+4,1.2007E+4,8.4319E+3,3.7183E+3,2.9646E+3,8.0332E+3,2.4169E+3,#N/A,#N/A,#N/A,6.2009E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|P51693|APLP1_HUMAN,Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3,APLP1,2.4576E+6,2.1581E+6,2.0231E+6,1.9614E+6,1.6946E+6,1.4149E+6,1.4745E+6,1.0445E+6,1.0284E+6,7.5115E+5,7.4930E+5,8.2283E+5,2.7927E+5,2.1821E+5,1.8237E+5,2.0647E+5,1.1211E+5,7.7242E+4,8.8501E+4,8.7746E+4,9.8239E+4,4.1129E+4,3.2606E+4,1.7690E+4,#N/A,#N/A,#N/A,#N/A,#N/A,2.1551E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sp|Q15650|TRIP4_HUMAN,Activating signal cointegrator 1 OS=Homo sapiens OX=9606 GN=TRIP4 PE=1 SV=4,TRIP4,7.3752E+4,9.0995E+4,7.0085E+4,2.8159E+4,1.4343E+5,7.4168E+4,2.9761E+4,1.5677E+4,#N/A,1.3476E+4,#N/A,8.9476E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
