Protein,Protein Description,Protein Gene,Actis_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Actis_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Actis_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Actis_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_151_200ng_2mzIso_4msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_154_200ng_2mzIso_4msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_155_200ng_2mzIso_4msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_150_200ng_3mzIso_6msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_152_200ng_3mzIso_6msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_157_200ng_3mzIso_6msIT_200agc_HeLa_03 Sum Normalized Area,Astral_2025_0407_149_200ng_4mzIso_8msIT_200agc_HeLa_01 Sum Normalized Area,Astral_2025_0407_153_200ng_4mzIso_8msIT_200agc_HeLa_02 Sum Normalized Area,Astral_2025_0407_156_200ng_4mzIso_8msIT_200agc_HeLa_03 Sum Normalized Area
tr|A0A590UJ96|A0A590UJ96_HUMAN,Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=1,,7.0362E+3,1.1363E+4,#N/A,1.3112E+4,2.6612E+3,#N/A,#N/A,4.0965E+3,#N/A,6.5653E+3,5.3391E+3,#N/A,#N/A,2.7203E+3,#N/A,8.3903E+3,2.9448E+3,#N/A
sp|A6NIH7|U119B_HUMAN,Protein unc-119 homolog B OS=Homo sapiens OX=9606 GN=UNC119B PE=1 SV=1,UNC119B,3.4694E+5,4.0293E+5,5.6658E+5,3.5240E+5,4.8821E+5,4.9092E+5,3.7815E+5,3.6868E+5,3.6459E+5,4.1946E+5,4.2964E+5,4.6494E+5,4.1293E+5,3.7363E+5,4.7898E+5,3.5610E+5,3.8709E+5,3.3375E+5
sp|O00165|HAX1_HUMAN,HCLS1-associated protein X-1 OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=2,HAX1,9.1310E+5,9.3859E+5,8.6680E+5,8.7504E+5,8.1942E+5,8.1363E+5,6.7873E+5,6.8236E+5,7.0688E+5,6.5071E+5,7.9313E+5,8.9009E+5,8.5760E+5,9.7219E+5,7.8518E+5,7.6139E+5,7.3840E+5,7.4870E+5
sp|O14810|CPLX1_HUMAN,Complexin-1 OS=Homo sapiens OX=9606 GN=CPLX1 PE=1 SV=1,CPLX1,3.1962E+4,3.4869E+4,2.9656E+4,2.7830E+4,4.7549E+4,2.2340E+4,2.7815E+4,2.3352E+4,4.8484E+4,1.1427E+4,2.8479E+4,1.6068E+4,1.5925E+4,2.5811E+4,2.0467E+4,3.4275E+4,2.5374E+4,2.9982E+4
sp|O15014|ZN609_HUMAN,Zinc finger protein 609 OS=Homo sapiens OX=9606 GN=ZNF609 PE=1 SV=2,ZNF609,1.2410E+6,1.0771E+6,1.1940E+6,1.9103E+6,1.3913E+6,1.2782E+6,1.3186E+6,1.0866E+6,1.9209E+6,1.1098E+6,1.2198E+6,1.1762E+6,1.0072E+6,9.2734E+5,1.8266E+6,2.1518E+6,1.0636E+6,7.1413E+5
sp|O15194|CTDSL_HUMAN,CTD small phosphatase-like protein OS=Homo sapiens OX=9606 GN=CTDSPL PE=1 SV=2,CTDSPL,5.4674E+4,4.8039E+4,4.3940E+4,3.6651E+4,5.8898E+4,4.5596E+4,4.6774E+4,4.1796E+4,4.5048E+4,3.2617E+4,4.8346E+4,4.3542E+4,7.9780E+3,5.0215E+4,3.5591E+4,4.3310E+4,6.9712E+4,4.8464E+4
sp|O43159|RRP8_HUMAN,Ribosomal RNA-processing protein 8 OS=Homo sapiens OX=9606 GN=RRP8 PE=1 SV=2,RRP8,2.2286E+6,2.2074E+6,2.2362E+6,1.9501E+6,1.9840E+6,1.9268E+6,1.9272E+6,1.8869E+6,1.7749E+6,2.3453E+6,2.1139E+6,2.0949E+6,2.0482E+6,1.8972E+6,1.9826E+6,1.7204E+6,1.8986E+6,1.7350E+6
sp|O75056|SDC3_HUMAN,Syndecan-3 OS=Homo sapiens OX=9606 GN=SDC3 PE=1 SV=2,SDC3,#N/A,#N/A,#N/A,#N/A,2.6432E+3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.9463E+3,#N/A,4.5298E+3
sp|O94875|SRBS2_HUMAN,Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SORBS2 PE=1 SV=3,SORBS2,3.0612E+4,3.9674E+4,2.7933E+4,3.5852E+4,2.4477E+4,3.0616E+4,2.0251E+4,1.3041E+4,1.4571E+4,1.4964E+4,2.2667E+4,3.1424E+4,1.9283E+4,2.7469E+4,4.3619E+3,6.2008E+3,1.9077E+4,2.4238E+3
sp|O95620|DUS4L_HUMAN,tRNA-dihydrouridine(20a/20b) synthase [NAD(P)+]-like OS=Homo sapiens OX=9606 GN=DUS4L PE=1 SV=2,DUS4L,1.8410E+4,3.1767E+4,9.9047E+3,7.3514E+3,1.2950E+4,2.1662E+4,3.6314E+3,2.4208E+4,1.0541E+4,1.2207E+4,#N/A,7.6501E+3,5.6367E+3,3.1315E+3,#N/A,2.1305E+4,8.1487E+3,4.0829E+3
