Protein,Protein Description,Protein Gene,A-100_0-14 Sum Normalized Area,A-100_0-28b Sum Normalized Area,A-100_0-42 Sum Normalized Area
sp|O95487|SC24B_HUMAN,Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,SEC24B,1.7824E+4,7.1125E+4,3.1745E+4
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,TF,5.5438E+7,5.7583E+7,5.7211E+7
sp|P06858|LIPL_HUMAN,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL,3.7104E+5,3.7139E+5,3.3754E+5
sp|P08254|MMP3_HUMAN,Stromelysin-1 OS=Homo sapiens OX=9606 GN=MMP3 PE=1 SV=2,MMP3,2.9201E+4,2.8974E+4,2.5057E+4
sp|P0DX04|TB15C_HUMAN / sp|P0CG35|TB15B_HUMAN / sp|P0CG34|TB15A_HUMAN,"Thymosin beta-15C OS=Homo sapiens OX=9606 GN=TMSB15C PE=3 SV=1
Thymosin beta-15B OS=Homo sapiens OX=9606 GN=TMSB15B PE=1 SV=1
Thymosin beta-15A OS=Homo sapiens OX=9606 GN=TMSB15A PE=1 SV=1",TMSB15C / TMSB15B / TMSB15A,8.9447E+3,6.8151E+3,1.0835E+4
sp|P23381|SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",WARS1,6.5563E+5,5.9846E+5,6.3974E+5
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,4.9630E+5,4.6899E+5,4.3193E+5
sp|P42224|STAT1_HUMAN,Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2,STAT1,6.3604E+5,6.5305E+5,5.3706E+5
sp|P51003|PAPOA_HUMAN / sp|Q9NRJ5|PAPOB_HUMAN,"Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4
Poly(A) polymerase beta OS=Homo sapiens OX=9606 GN=PAPOLB PE=1 SV=2",PAPOLA / PAPOLB,#N/A,3.5457E+4,3.8522E+4
sp|P51693|APLP1_HUMAN,Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3,APLP1,1.9705E+6,1.9601E+6,2.0317E+6
sp|Q03426|KIME_HUMAN,Mevalonate kinase OS=Homo sapiens OX=9606 GN=MVK PE=1 SV=1,MVK,#N/A,2.6854E+3,8.1506E+3
sp|Q15650|TRIP4_HUMAN,Activating signal cointegrator 1 OS=Homo sapiens OX=9606 GN=TRIP4 PE=1 SV=4,TRIP4,6.7640E+5,4.8334E+5,9.2390E+5
sp|Q15758|AAAT_HUMAN,Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2,SLC1A5,1.5912E+4,2.8745E+4,2.4806E+4
sp|Q3B8N2|LEG9B_HUMAN / sp|Q6DKI2|LEG9C_HUMAN / sp|O00182|LEG9_HUMAN,"Galectin-9B OS=Homo sapiens OX=9606 GN=LGALS9B PE=1 SV=3
Galectin-9C OS=Homo sapiens OX=9606 GN=LGALS9C PE=1 SV=2
Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2",LGALS9B / LGALS9C / LGALS9,8.4589E+3,1.1675E+4,8.4881E+3
sp|Q58FF8|H90B2_HUMAN,Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2,HSP90AB2P,2.6146E+6,2.6431E+6,2.8326E+6
sp|Q5TEC6|H37_HUMAN,Histone H3-7 OS=Homo sapiens OX=9606 GN=H3-7 PE=1 SV=1,H3-7,#N/A,#N/A,#N/A
sp|Q5TGZ0|MIC10_HUMAN,MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1,MICOS10,1.3142E+5,9.3836E+4,9.8169E+4
sp|Q86X10|RLGPB_HUMAN,Ral GTPase-activating protein subunit beta OS=Homo sapiens OX=9606 GN=RALGAPB PE=1 SV=1,RALGAPB,2.0607E+4,3.0674E+4,5.8484E+3
